DrugName,ActiveIngredient,
NETARSUDIL MESYLATE, NETARSUDIL,
ABACAVIR || DOLUTEGRAVIR || LAMIVUDINE,ABACAVIR || DOLUTEGRAVIR || LAMIVUDINE,
ZIAGEN,ABACAVIR SULFATE,
ABACAVIR SULFATE,ABACAVIR SULFATE,
TRIUMEQ,ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,
TRIUMEQ PD,ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,
EPZICOM,ABACAVIR SULFATE; LAMIVUDINE,
ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE,
ABACAVIR SULFATE AND LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE,
TRIZIVIR,ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE,
"ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE",ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE,
ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR SULFATE;LAMIVUDINE,
ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE,ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE,
ABACAVIR AND LAMIVUDINE,ABACAVIR; LAMIVUDINE,
ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE,ABACAVIR;DOLUTEGRAVIR;LAMIVUDINE,
EPZICOM,ABACAVIR;LAMIVUDINE,
ABACAVIR AND LAMIVUDINE,ABACAVIR;LAMIVUDINE,
ABACAVIR; LAMIVUDINE,ABACAVIR;LAMIVUDINE,
TYMLOS,ABALOPARATIDE,
XEGLYZE,ABAMETAPIR,
PLENAXIS,ABARELIX,
ORENCIA,ABATACEPT,
REOPRO,ABCIXIMAB,
VERZENIO,ABEMACICLIB,
ZYTIGA,ABIRATERONE ACETATE,
ABIRATERONE ACETATE,ABIRATERONE ACETATE,
YONSA,ABIRATERONE ACETATE,
AKEEGA,ABIRATERONE ACETATE; NIRAPARIB TOSYLATE,
DYSPORT,abobotulinumtoxinA,
CIBINQO,ABROCITINIB,
CALQUENCE,ACALABRUTINIB,
ACALABRUTINIB,ACALABRUTINIB,
CALQUENCE,ACALABRUTINIB MALEATE,
CAMPRAL,ACAMPROSATE CALCIUM,
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,
PRECOSE,ACARBOSE,
ACARBOSE,ACARBOSE,
SECTRAL,ACEBUTOLOL HYDROCHLORIDE,
ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL HYDROCHLORIDE,
NEOPAP,ACETAMINOPHEN,
TYLENOL,ACETAMINOPHEN,
INJECTAPAP,ACETAMINOPHEN,
ACEPHEN,ACETAMINOPHEN,
ACETAMINOPHEN,ACETAMINOPHEN,
INFANTS' FEVERALL,ACETAMINOPHEN,
OFIRMEV,ACETAMINOPHEN,
EXCEDRIN (MIGRAINE RELIEF),ACETAMINOPHEN; ASPIRIN; CAFFEINE,
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",ACETAMINOPHEN; ASPIRIN; CAFFEINE,
"ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE",ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,
"CODEINE, ASPIRIN, APAP FORMULA NO. 4",ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,
"CODEINE, ASPIRIN, APAP FORMULA NO. 3",ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,
"CODEINE, ASPIRIN, APAP FORMULA NO. 2",ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,
APADAZ,ACETAMINOPHEN; BENZHYDROCODONE HYDROCHLORIDE,
BUTALBITAL AND ACETAMINOPHEN,ACETAMINOPHEN; BUTALBITAL,
PHRENILIN,ACETAMINOPHEN; BUTALBITAL,
PHRENILIN FORTE,ACETAMINOPHEN; BUTALBITAL,
BANCAP,ACETAMINOPHEN; BUTALBITAL,
SEDAPAP,ACETAMINOPHEN; BUTALBITAL,
BUCET,ACETAMINOPHEN; BUTALBITAL,
TRIAPRIN,ACETAMINOPHEN; BUTALBITAL,
TENCON,ACETAMINOPHEN; BUTALBITAL,
BUTAPAP,ACETAMINOPHEN; BUTALBITAL,
ALLZITAL,ACETAMINOPHEN; BUTALBITAL,
ESGIC-PLUS,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,
"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ACETAMINOPHEN; BUTALBITAL; CAFFEINE,
ANOQUAN,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,
TRIAD,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,
FEMCET,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,
MEDIGESIC PLUS,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,
ESGIC,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,
FIORICET W/ CODEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,
PHRENILIN WITH CAFFEINE AND CODEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,
"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,
"ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE",ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,
DHC PLUS,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,
SYNALGOS-DC-A,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,
"ACETAMINOPHEN, CAFFEINE AND DIHYDROCODEINE BITARTRATE",ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,
TREZIX,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,
TAVIST ALLERGY/SINUS/HEADACHE,ACETAMINOPHEN; CLEMASTINE FUMARATE; PSEUDOEPHEDRINE HYDROCHLORIDE,
ACETAMINOPHEN AND CODEINE PHOSPHATE,ACETAMINOPHEN; CODEINE PHOSPHATE,
CODRIX,ACETAMINOPHEN; CODEINE PHOSPHATE,
CAPITAL AND CODEINE,ACETAMINOPHEN; CODEINE PHOSPHATE,
EMPRACET W/ CODEINE PHOSPHATE #3,ACETAMINOPHEN; CODEINE PHOSPHATE,
EMPRACET W/ CODEINE PHOSPHATE #4,ACETAMINOPHEN; CODEINE PHOSPHATE,
PHENAPHEN W/ CODEINE NO. 2,ACETAMINOPHEN; CODEINE PHOSPHATE,
PHENAPHEN W/ CODEINE NO. 3,ACETAMINOPHEN; CODEINE PHOSPHATE,
PHENAPHEN W/ CODEINE NO. 4,ACETAMINOPHEN; CODEINE PHOSPHATE,
TYLENOL W/ CODEINE NO. 1,ACETAMINOPHEN; CODEINE PHOSPHATE,
TYLENOL W/ CODEINE NO. 2,ACETAMINOPHEN; CODEINE PHOSPHATE,
TYLENOL W/ CODEINE NO. 3,ACETAMINOPHEN; CODEINE PHOSPHATE,
TYLENOL W/ CODEINE NO. 4,ACETAMINOPHEN; CODEINE PHOSPHATE,
TYLENOL W/ CODEINE,ACETAMINOPHEN; CODEINE PHOSPHATE,
PROVAL #3,ACETAMINOPHEN; CODEINE PHOSPHATE,
PHENAPHEN-650 W/ CODEINE,ACETAMINOPHEN; CODEINE PHOSPHATE,
PAPA-DEINE #3,ACETAMINOPHEN; CODEINE PHOSPHATE,
PAPA-DEINE #4,ACETAMINOPHEN; CODEINE PHOSPHATE,
DRIXORAL PLUS,ACETAMINOPHEN; DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE,
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
NORCO,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
LORTAB,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
VICODIN HP,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
ZYDONE,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
ANEXSIA 7.5/325,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
ANEXSIA 5/325,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
ANEXSIA,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
VICODIN,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
LORCET-HD,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
HY-PHEN,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
CO-GESIC,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
DURADYNE DHC,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
BANCAP HC,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
NORCET,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
ACETAMINOPHEN AND HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
TYCOLET,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
ANEXSIA 7.5/650,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
VICODIN ES,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
ALLAY,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
ZYFREL,ACETAMINOPHEN; HYDROCODONE BITARTRATE,
COMBOGESIC,ACETAMINOPHEN; IBUPROFEN,
ADVIL DUAL ACTION WITH ACETAMINOPHEN,ACETAMINOPHEN; IBUPROFEN,
ACETAMINOPHEN AND IBUPROFEN,ACETAMINOPHEN; IBUPROFEN,
COMBOGESIC IV,ACETAMINOPHEN; IBUPROFEN SODIUM,
ROXILOX,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
OXYCODONE AND ACETAMINOPHEN,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
PERCOCET,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
OXYCODONE 2.5/APAP 500,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
OXYCODONE 5/APAP 500,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
ROXICET,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
OXYCET,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
TYLOX-325,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
TYLOX,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
ROXICET 5/500,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
