Title,Year,DOI,Authors,Age,Sex,QT_values,HR_values,BP_values,Medical_History,Naranjo_Score,Tisdale_Score,WHO_UMC,TdP_Present
Evaluation of the potential for QTc prolongation with avelumab.,2019,10.1007/s00280-019-03925-z,"Vugmeyster Y, Guzel G, Hennessy M, Loos AH, Dai H",N/A,N/A,N/A,N/A,N/A,N/A,6,2,Possible,No
Diphenhydramine-Induced Torsade De Pointes With Pharmacological Cardioversion in a Patient With Methadone-Induced QT Prolongation.,2022,10.7759/cureus.22534,"Hoffman JP, Serdiuk AA, Escher AR Jr, Bordoni B, Evans R",60,Female,N/A,N/A,N/A,N/A,4,6,Possible,Yes
Pro-arrhythmic potential of oral antihistamines (H1): combining adverse event reports with drug utilization data across Europe.,2015,10.1371/journal.pone.0119551,"Poluzzi E, Raschi E, Godman B, Koci A, Moretti U, Kalaba M, Wettermark B, Sturkenboom M, De Ponti F",N/A,N/A,N/A,N/A,N/A,cardiac arrest,3,2,Possible,Yes
Efficacy of lipid emulsion therapy in treating cardiotoxicity from diphenhydramine ingestion: a review and analysis of case reports.,2022,10.1080/15563650.2022.2038187,"Clemons J, Jandu A, Stein B, Chary M",N/A,N/A,N/A,N/A,N/A,seizure,6,2,Possible,No
Case of polymorphic ventricular tachycardia in diphenhydramine poisoning.,2004,10.1046/j.1540-8167.2004.03173.x,"Joshi AK, Sljapic T, Borghei H, Kowey PR",26,Male,N/A,N/A,N/A,tachycardia; prolonged QT,6,2,Possible,Yes
Escitalopram Induced Angioedema.,2022,10.7759/cureus.31600,"Conde SL, Nazha H, Simpkins C",28,Female,N/A,N/A,N/A,generalized anxiety disorder; psychiatric disorder; anxiety disorder; depressive disorder; use disorder; anxiety; sepsis,5,9,Possible,No
Association of H1-antihistamines with torsade de pointes: a pharmacovigilance study of the food and drug administration adverse event reporting system.,2021,10.1080/14740338.2021.1846717,"Ali Z, Ismail M, Khan F, Sajid H",N/A,N/A,N/A,N/A,N/A,N/A,4,2,Possible,Yes
Drug-specific risk of severe QT prolongation following acute drug overdose.,2020,10.1080/15563650.2020.1746330,"Campleman SL, Brent J, Pizon AF, Shulman J, Wax P, Manini AF",N/A,N/A,N/A,N/A,N/A,cardiac disease,5,10,Possible,No
Why Can dl-Sotalol Prolong the QT Interval In Vivo Despite Its Weak Inhibitory Effect on hERG K(+) Channels In Vitro? Electrophysiological and Pharmacokinetic Analysis with the Halothane-Anesthetized Guinea Pig Model.,2016,10.1007/s12012-015-9322-2,"Katagi J, Nakamura Y, Cao X, Ohara H, Honda A, Izumi-Nakaseko H, Ando K, Sugiyama A",N/A,N/A,N/A,N/A,N/A,N/A,3,2,Possible,No
Torsades de pointes in congenital long QT syndrome following low-dose orphenadrine.,2006,10.1111/j.1368-5031.2006.00764.x,"Luzza F, Raffa S, Saporito F, Oreto G",N/A,Female,"600, 537",N/A,N/A,cardiac disease; long QT syndrome,5,8,Possible,Yes
