Title,Year,DOI,Authors,Age,Sex,QT_values,HR_values,BP_values,Medical_History,Naranjo_Score,Tisdale_Score,WHO_UMC,TdP_Present
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,Unassessable,No
